game_id,side,id,year,region,round,high_bracket_seed,high_team_id,low_bracket_seed,low_team_id,high_bracket_score,low_bracket_score,point_diff,point_total,win
20211404,a,1404,2021,Midwest,First Round,4,2021 Kentucky,13,2021 Idaho St.,71,63,8,134,1
20221404,a,1404,2022,East,First Round,4,2022 Oklahoma,13,2022 IUPUI,78,72,6,150,1
20231404,a,1404,2023,East,First Round,4,2023 Texas,13,2023 East Carolina,79,40,39,119,1
20241404,a,1404,2024,West,First Round,4,2024 Virginia Tech,13,2024 Marshall,92,49,43,141,1
20251404a,a,1404,2025,West,First Round,4,2025 Kentucky,13,2025 Liberty,79,78,1,157,1
20212110,a,2110,2021,East,Second Round,5,2021 Missouri St.,13,2021 Wright St.,64,39,25,103,1
20211105,a,1105,2021,East,First Round,3,2021 Georgia,14,2021 Drexel,67,53,14,120,1
20221105,a,1105,2022,South,First Round,3,2022 Iowa St.,14,2022 UT Arlington,78,71,7,149,1
20231105,a,1105,2023,South,First Round,3,2023 Notre Dame,14,2023 Southern Utah,82,56,26,138,1
20241105,a,1105,2024,South,First Round,3,2024 Oregon St.,14,2024 Eastern Washington,73,51,22,124,1
20251105a,a,1105,2025,South,First Round,3,2025 LSU,14,2025 San Diego St.,103,48,55,151,1
20211205,a,1205,2021,West,First Round,3,2021 UCLA,14,2021 Wyoming,69,48,21,117,1
20221205,a,1205,2022,Midwest,First Round,3,2022 Michigan,14,2022 American,74,39,35,113,1
20231205,a,1205,2023,Midwest,First Round,3,2023 LSU,14,2023 Hawaii,73,50,23,123,1
20241205,a,1205,2024,Midwest,First Round,3,2024 North Carolina St.,14,2024 Chattanooga,64,45,19,109,1
20251205a,a,1205,2025,Midwest,First Round,3,2025 North Carolina,14,2025 Oregon St.,70,49,21,119,1
20211305,a,1305,2021,South,First Round,3,2021 Arizona,14,2021 Stony Brook,79,44,35,123,1
20221305,a,1305,2022,West,First Round,3,2022 LSU,14,2022 Jackson St.,83,77,6,160,1
20231305,a,1305,2023,West,First Round,3,2023 Ohio St.,14,2023 James Madison,80,66,14,146,1
20241305,a,1305,2024,East,First Round,3,2024 LSU,14,2024 Rice,70,60,10,130,1
20251305a,a,1305,2025,East,First Round,3,2025 Notre Dame,14,2025 Stephen F. Austin,106,54,52,160,1
20211405,a,1405,2021,Midwest,First Round,3,2021 Tennessee,14,2021 Middle Tennessee,87,62,25,149,1
20221405,a,1405,2022,East,First Round,3,2022 Indiana,14,2022 Charlotte,85,51,34,136,1
20231405,a,1405,2023,East,First Round,3,2023 Duke,14,2023 Iona,89,49,40,138,1
20241405,a,1405,2024,West,First Round,3,2024 Connecticut,14,2024 Jackson St.,86,64,22,150,1
20251405a,a,1405,2025,West,First Round,3,2025 Oklahoma,14,2025 Florida Gulf Coast,81,58,23,139,1
