round,team_region,team_seed,opp_region,opp_seed
Elite Eight,Region 2,4,Region 2,10
Elite Eight,Region 2,4,Region 2,3
Elite Eight,Region 2,4,Region 2,14
Elite Eight,Region 2,4,Region 2,6
Elite Eight,Region 2,4,Region 2,11
Elite Eight,Region 2,13,Region 2,2
Elite Eight,Region 2,13,Region 2,15
Elite Eight,Region 2,13,Region 2,7
Elite Eight,Region 2,13,Region 2,10
Elite Eight,Region 2,13,Region 2,3
Elite Eight,Region 2,13,Region 2,14
Elite Eight,Region 2,13,Region 2,6
Elite Eight,Region 2,13,Region 2,11
Elite Eight,Region 2,5,Region 2,2
Elite Eight,Region 2,5,Region 2,15
Elite Eight,Region 2,5,Region 2,7
Elite Eight,Region 2,5,Region 2,10
Elite Eight,Region 2,5,Region 2,3
Elite Eight,Region 2,5,Region 2,14
Elite Eight,Region 2,5,Region 2,6
Elite Eight,Region 2,5,Region 2,11
Elite Eight,Region 2,12,Region 2,2
Elite Eight,Region 2,12,Region 2,15
Elite Eight,Region 2,12,Region 2,7
Elite Eight,Region 2,12,Region 2,10
Elite Eight,Region 2,12,Region 2,3
Elite Eight,Region 2,12,Region 2,14
Elite Eight,Region 2,12,Region 2,6
Elite Eight,Region 2,12,Region 2,11
Elite Eight,Region 3,1,Region 3,2
Elite Eight,Region 3,1,Region 3,15
Elite Eight,Region 3,1,Region 3,7
Elite Eight,Region 3,1,Region 3,10
Elite Eight,Region 3,1,Region 3,3
Elite Eight,Region 3,1,Region 3,14
Elite Eight,Region 3,1,Region 3,6
Elite Eight,Region 3,1,Region 3,11
Elite Eight,Region 3,16,Region 3,2
Elite Eight,Region 3,16,Region 3,15
Elite Eight,Region 3,16,Region 3,7
Elite Eight,Region 3,16,Region 3,10
Elite Eight,Region 3,16,Region 3,3
Elite Eight,Region 3,16,Region 3,14
Elite Eight,Region 3,16,Region 3,6
Elite Eight,Region 3,16,Region 3,11
Elite Eight,Region 3,8,Region 3,2
Elite Eight,Region 3,8,Region 3,15
Elite Eight,Region 3,8,Region 3,7
Elite Eight,Region 3,8,Region 3,10
Elite Eight,Region 3,8,Region 3,3
Elite Eight,Region 3,8,Region 3,14
Elite Eight,Region 3,8,Region 3,6
Elite Eight,Region 3,8,Region 3,11
Elite Eight,Region 3,9,Region 3,2
Elite Eight,Region 3,9,Region 3,15
Elite Eight,Region 3,9,Region 3,7
Elite Eight,Region 3,9,Region 3,10
Elite Eight,Region 3,9,Region 3,3
Elite Eight,Region 3,9,Region 3,14
Elite Eight,Region 3,9,Region 3,6
Elite Eight,Region 3,9,Region 3,11
Elite Eight,Region 3,4,Region 3,2
Elite Eight,Region 3,4,Region 3,15
Elite Eight,Region 3,4,Region 3,7
Elite Eight,Region 3,4,Region 3,10
Elite Eight,Region 3,4,Region 3,3
Elite Eight,Region 3,4,Region 3,14
Elite Eight,Region 3,4,Region 3,6
Elite Eight,Region 3,4,Region 3,11
Elite Eight,Region 3,13,Region 3,2
Elite Eight,Region 3,13,Region 3,15
Elite Eight,Region 3,13,Region 3,7
Elite Eight,Region 3,13,Region 3,10
Elite Eight,Region 3,13,Region 3,3
Elite Eight,Region 3,13,Region 3,14
Elite Eight,Region 3,13,Region 3,6
Elite Eight,Region 3,13,Region 3,11
Elite Eight,Region 3,5,Region 3,2
Elite Eight,Region 3,5,Region 3,15
Elite Eight,Region 3,5,Region 3,7
Elite Eight,Region 3,5,Region 3,10
Elite Eight,Region 3,5,Region 3,3
Elite Eight,Region 3,5,Region 3,14
Elite Eight,Region 3,5,Region 3,6
Elite Eight,Region 3,5,Region 3,11
Elite Eight,Region 3,12,Region 3,2
Elite Eight,Region 3,12,Region 3,15
Elite Eight,Region 3,12,Region 3,7
Elite Eight,Region 3,12,Region 3,10
Elite Eight,Region 3,12,Region 3,3
Elite Eight,Region 3,12,Region 3,14
Elite Eight,Region 3,12,Region 3,6
Elite Eight,Region 3,12,Region 3,11
Elite Eight,Region 4,1,Region 4,2
Elite Eight,Region 4,1,Region 4,15
Elite Eight,Region 4,1,Region 4,7
Elite Eight,Region 4,1,Region 4,10
Elite Eight,Region 4,1,Region 4,3
Elite Eight,Region 4,1,Region 4,14
Elite Eight,Region 4,1,Region 4,6
Elite Eight,Region 4,1,Region 4,11
Elite Eight,Region 4,16,Region 4,2
Elite Eight,Region 4,16,Region 4,15
Elite Eight,Region 4,16,Region 4,7
Elite Eight,Region 4,16,Region 4,10
Elite Eight,Region 4,16,Region 4,3
Elite Eight,Region 4,16,Region 4,14
Elite Eight,Region 4,16,Region 4,6
Elite Eight,Region 4,16,Region 4,11
Elite Eight,Region 4,8,Region 4,2
Elite Eight,Region 4,8,Region 4,15
Elite Eight,Region 4,8,Region 4,7
Elite Eight,Region 4,8,Region 4,10
Elite Eight,Region 4,8,Region 4,3
Elite Eight,Region 4,8,Region 4,14
Elite Eight,Region 4,8,Region 4,6
Elite Eight,Region 4,8,Region 4,11
Elite Eight,Region 4,9,Region 4,2
Elite Eight,Region 4,9,Region 4,15
Elite Eight,Region 4,9,Region 4,7
Elite Eight,Region 4,9,Region 4,10
Elite Eight,Region 4,9,Region 4,3
Elite Eight,Region 4,9,Region 4,14
Elite Eight,Region 4,9,Region 4,6
Elite Eight,Region 4,9,Region 4,11
Elite Eight,Region 4,4,Region 4,2
Elite Eight,Region 4,4,Region 4,15
Elite Eight,Region 4,4,Region 4,7
Elite Eight,Region 4,4,Region 4,10
Elite Eight,Region 4,4,Region 4,3
Elite Eight,Region 4,4,Region 4,14
Elite Eight,Region 4,4,Region 4,6
