torvik_id,year,rank,team,conf,games,record,adj_oe,adj_de,barthag,efg_pct,efgd_pct,tor,tord,orb_pct,drb_pct,ftr,ftrd,2p_pct,2pd_pct,3p_pct,3pd_pct,3pr,3prd,adj_tempo,wab
2024 Fairfield,2024,83,Fairfield,MAAC,31,30–1,99,87.3,0.8076,53.9,40.7,24.7,26.8,33.8,28.5,24.1,31.8,57.6,40.1,33,27.9,45.3,32.6,69.8,0.44
2023 Bradley,2023,320,Bradley,MVC,31,3–28,85.1,104.7,0.084,42.9,52,22.5,17.9,24.5,34.3,23.1,26.7,40.5,50.3,32.4,37.2,29.7,32.5,67.3,-23.5
2025 Utah St.,2025,280,Utah St.,MWC,31,45774,89.3,102.5,0.1708,43.5,51.3,22.5,22.5,27.5,36.4,24.2,27.5,43.7,49.9,28.8,36,45.4,34.1,73.7,-21.6
2025 UNC Asheville,2025,358,UNC Asheville,BSth,31,45774,75.6,107.9,0.0164,39.6,49.6,27,23.7,31.4,34.2,25.8,35.2,40.8,53.6,25,27.1,36,30.8,69.6,-25.7
2025 North Florida,2025,338,North Florida,ASun,31,45803,81.4,107.4,0.0397,42.9,51.9,25.2,20.6,27,35.6,24.7,29.1,44.7,52.9,26.9,33.4,41.8,34.6,69,-22.1
2025 Utah Tech,2025,334,Utah Tech,WAC,31,45833,83.4,106.9,0.0541,43.4,51.2,25.2,21.9,24.5,34.5,32.9,26.7,40.3,50,31,35.3,49.6,39.1,72,-21.3
2025 Xavier,2025,206,Xavier,BE,31,45862,82.3,87.2,0.3375,46.3,46.9,30.1,25.8,18.9,35.3,21.9,29.8,46.4,46.2,30.8,32.2,41,35.7,66.4,-16.4
2025 San Diego,2025,257,San Diego,WCC,31,45862,87.4,98.2,0.207,42.1,47.7,25.7,21.5,36.1,32.5,25.2,34.5,43.8,48.2,22.9,31,18,28.4,67.5,-20.8
2025 Le Moyne,2025,356,Le Moyne,NEC,31,45862,78.2,111.5,0.0167,41.4,50.8,25.9,18.7,26.4,32.1,29.2,18.2,37.8,49.9,31.3,34.6,39.3,41.1,65.7,-20.6
2025 Hampton,2025,322,Hampton,CAA,31,45892,80.9,100.6,0.0748,40.7,48.5,22.9,26.5,28.5,37.4,27.6,30.9,41.5,49.8,25.6,30.4,28.7,28.9,69.8,-20.4
