year,game_id,round,team_region,team_seed,team,opp_region,opp_seed,opponent,win_prob_raw,win_prob
2021,r2_r1_g04,Round 2,Region 1,5,Missouri St.,Region 1,4,Arkansas,0.5429487157832543,0.47888875045787804
2021,r2_r1_g04,Round 2,Region 1,12,UC Davis,Region 1,4,Arkansas,0.18611273789208127,0.17539047270658875
2021,r2_r1_g04,Round 2,Region 1,5,Missouri St.,Region 1,13,Wright St.,0.8481189041753388,0.8327484743641449
2021,r2_r1_g04,Round 2,Region 1,12,UC Davis,Region 1,13,Wright St.,0.5180507462237448,0.5094259262055185
2021,r2_r2_g01,Round 2,Region 2,8,Syracuse,Region 2,1,Connecticut,0.03284051013965426,0.03248316038337096
2021,r2_r2_g01,Round 2,Region 2,9,South Dakota St.,Region 2,1,Connecticut,0.024812789311736753,0.024628340051491636
2021,r2_r2_g01,Round 2,Region 2,8,Syracuse,Region 2,16,High Point,0.9596676187355253,0.9412502527931536
2021,r2_r2_g01,Round 2,Region 2,9,South Dakota St.,Region 2,16,High Point,0.9468922628420002,0.9269054206251641
2021,r2_r2_g02,Round 2,Region 2,7,Virginia Tech,Region 2,2,Baylor,0.09315125756768701,0.09075437550146837
2021,r2_r2_g02,Round 2,Region 2,10,Marquette,Region 2,2,Baylor,0.06564867792481109,0.064598549973421
2021,r2_r2_g02,Round 2,Region 2,7,Virginia Tech,Region 2,15,Jackson St.,0.931649778044555,0.91296429948534
2021,r2_r2_g02,Round 2,Region 2,10,Marquette,Region 2,15,Jackson St.,0.9031327595976617,0.8841916090794205
2021,r2_r2_g03,Round 2,Region 2,6,Michigan,Region 2,3,Tennessee,0.650336682204459,0.5849898926144395
2021,r2_r2_g03,Round 2,Region 2,11,Florida Gulf Coast,Region 2,3,Tennessee,0.1876763902966402,0.1783501774878437
2021,r2_r2_g03,Round 2,Region 2,6,Michigan,Region 2,14,Middle Tennessee,0.9739030140059313,0.9543438258898802
2021,r2_r2_g03,Round 2,Region 2,11,Florida Gulf Coast,Region 2,14,Middle Tennessee,0.8225605674762737,0.7549096688025139
2021,r2_r2_g04,Round 2,Region 2,5,Iowa,Region 2,4,Kentucky,0.7071897325821129,0.5734618696072357
2021,r2_r2_g04,Round 2,Region 2,12,Central Michigan,Region 2,4,Kentucky,0.15543410677647942,0.14411324188061933
2021,r2_r2_g04,Round 2,Region 2,5,Iowa,Region 2,13,Idaho St.,0.911897159453568,0.8397839736184157
2021,r2_r2_g04,Round 2,Region 2,12,Central Michigan,Region 2,13,Idaho St.,0.4409388714760192,0.3881641230011862
2021,r2_r3_g01,Round 2,Region 3,8,South Florida,Region 3,1,North Carolina St.,0.16433221443492624,0.15787994642475253
2021,r2_r3_g01,Round 2,Region 3,9,Washington St.,Region 3,1,North Carolina St.,0.16708398748611988,0.15965562459922325
2021,r2_r3_g01,Round 2,Region 3,8,South Florida,Region 3,16,North Carolina A&T,0.9633101511247273,0.958616505229962
2021,r2_r3_g01,Round 2,Region 3,9,Washington St.,Region 3,16,North Carolina A&T,0.9640072113894024,0.9576021093454132
2021,r2_r3_g02,Round 2,Region 3,7,Iowa St.,Region 3,2,Texas A&M,0.5170401767504536,0.45618444175339995
2021,r2_r3_g02,Round 2,Region 3,10,Michigan St.,Region 3,2,Texas A&M,0.38367464250109723,0.35072187872414695
2021,r2_r3_g02,Round 2,Region 3,7,Iowa St.,Region 3,15,Troy,0.9499980341106653,0.9193716831279569
2021,r2_r3_g02,Round 2,Region 3,10,Michigan St.,Region 3,15,Troy,0.916997223464542,0.8827515944432985
2021,r2_r3_g03,Round 2,Region 3,6,Rutgers,Region 3,3,Arizona,0.498265821551646,0.4657320306452231
2021,r2_r3_g03,Round 2,Region 3,11,BYU,Region 3,3,Arizona,0.18652330418044044,0.18259962819259998
2021,r2_r3_g03,Round 2,Region 3,6,Rutgers,Region 3,14,Stony Brook,0.9703779726023583,0.9610311305280907
2021,r2_r3_g03,Round 2,Region 3,11,BYU,Region 3,14,Stony Brook,0.8832262457649679,0.8678959308326926
2021,r2_r3_g04,Round 2,Region 3,5,Gonzaga,Region 3,4,Indiana,0.5207090909724269,0.4800900804283143
2021,r2_r3_g04,Round 2,Region 3,12,Belmont,Region 3,4,Indiana,0.06158941044307972,0.06044906381559004
2021,r2_r3_g04,Round 2,Region 3,5,Gonzaga,Region 3,13,VCU,0.9733679673798684,0.9625200472686524
2021,r2_r3_g04,Round 2,Region 3,12,Belmont,Region 3,13,VCU,0.6882747790800565,0.6291530621661316
2021,r2_r4_g01,Round 2,Region 4,8,Oregon St.,Region 4,1,South Carolina,0.1676372071330887,0.1591236682616791
2021,r2_r4_g01,Round 2,Region 4,9,Florida St.,Region 4,1,South Carolina,0.053759724916998014,0.053170869398590184
2021,r2_r4_g01,Round 2,Region 4,8,Oregon St.,Region 4,16,Mercer,0.97574128789519,0.9620441806030091
2021,r2_r4_g01,Round 2,Region 4,9,Florida St.,Region 4,16,Mercer,0.919005878896278,0.8986077423488226
2021,r2_r4_g02,Round 2,Region 4,7,Alabama,Region 4,2,Maryland,0.07815375054963512,0.07466488297549882
2021,r2_r4_g02,Round 2,Region 4,10,North Carolina,Region 4,2,Maryland,0.05645167371287451,0.05488154196521016
2021,r2_r4_g02,Round 2,Region 4,7,Alabama,Region 4,15,Mount St. Mary's,0.9644639498101196,0.9385350348937477
2021,r2_r4_g02,Round 2,Region 4,10,North Carolina,Region 4,15,Mount St. Mary's,0.950379745781569,0.9305198930620598
2021,r2_r4_g03,Round 2,Region 4,6,Texas,Region 4,3,UCLA,0.18971063205155614,0.1815157672637275
2021,r2_r4_g03,Round 2,Region 4,11,Bradley,Region 4,3,UCLA,0.028653435569057913,0.02837896604197965
2021,r2_r4_g03,Round 2,Region 4,6,Texas,Region 4,14,Wyoming,0.9479564876787328,0.9387944732490573
