game_id,side,id,year,region,round,high_bracket_seed,high_bracket_team,low_bracket_seed,low_bracket_team,high_bracket_score,low_bracket_score,point_diff,point_total,win
20241303b,b,1303,2024,Region 3,First Round,12,2024 McNeese,5,2024 Gonzaga,65,86,-21,151,0
20241304b,b,1304,2024,Region 3,First Round,13,2024 Samford,4,2024 Kansas,89,93,-4,182,0
20241305b,b,1305,2024,Region 3,First Round,11,2024 Oregon,6,2024 South Carolina,87,73,14,160,1
20241306b,b,1306,2024,Region 3,First Round,14,2024 Akron,3,2024 Creighton,60,77,-17,137,0
20241307b,b,1307,2024,Region 3,First Round,10,2024 Colorado St.,7,2024 Texas,44,56,-12,100,0
20241308b,b,1308,2024,Region 3,First Round,15,2024 Saint Peter's,2,2024 Tennessee,49,83,-34,132,0
20241401b,b,1401,2024,Region 4,First Round,16,2024 Wagner,1,2024 North Carolina,62,90,-28,152,0
20241402b,b,1402,2024,Region 4,First Round,9,2024 Michigan St.,8,2024 Mississippi St.,69,51,18,120,1
20241403b,b,1403,2024,Region 4,First Round,12,2024 Grand Canyon,5,2024 Saint Mary's,75,66,9,141,1
20241404b,b,1404,2024,Region 4,First Round,13,2024 Charleston,4,2024 Alabama,96,109,-13,205,0
20241405b,b,1405,2024,Region 4,First Round,11,2024 New Mexico,6,2024 Clemson,56,77,-21,133,0
20241406b,b,1406,2024,Region 4,First Round,14,2024 Colgate,3,2024 Baylor,67,92,-25,159,0
20241407b,b,1407,2024,Region 4,First Round,10,2024 Nevada,7,2024 Dayton,60,63,-3,123,0
20241408b,b,1408,2024,Region 4,First Round,15,2024 Long Beach St.,2,2024 Arizona,65,85,-20,150,0
20242109b,b,2109,2024,Region 1,Second Round,9,2024 Northwestern,1,2024 Connecticut,58,75,-17,133,0
20242110b,b,2110,2024,Region 1,Second Round,13,2024 Yale,5,2024 San Diego St.,57,85,-28,142,0
20242111b,b,2111,2024,Region 1,Second Round,3,2024 Illinois,11,2024 Duquesne,89,63,26,152,1
20242112b,b,2112,2024,Region 1,Second Round,2,2024 Iowa St.,7,2024 Washington St.,67,56,11,123,1
20242209b,b,2209,2024,Region 2,Second Round,9,2024 Texas A&M,1,2024 Houston,95,100,-5,195,0
20242210b,b,2210,2024,Region 2,Second Round,4,2024 Duke,12,2024 James Madison,93,55,38,148,1
20242211b,b,2211,2024,Region 2,Second Round,14,2024 Oakland,11,2024 NC St.,73,79,-6,152,0
20242212b,b,2212,2024,Region 2,Second Round,2,2024 Marquette,10,2024 Colorado,81,77,4,158,1
20242309b,b,2309,2024,Region 3,Second Round,8,2024 Utah St.,1,2024 Purdue,67,106,-39,173,0
20242310b,b,2310,2024,Region 3,Second Round,4,2024 Kansas,5,2024 Gonzaga,68,89,-21,157,0
20242311b,b,2311,2024,Region 3,Second Round,3,2024 Creighton,11,2024 Oregon,86,73,13,159,1
20242312b,b,2312,2024,Region 3,Second Round,2,2024 Tennessee,7,2024 Texas,62,58,4,120,1
20242409b,b,2409,2024,Region 4,Second Round,9,2024 Michigan St.,1,2024 North Carolina,69,85,-16,154,0
20242410b,b,2410,2024,Region 4,Second Round,4,2024 Alabama,12,2024 Grand Canyon,72,61,11,133,1
20242411b,b,2411,2024,Region 4,Second Round,3,2024 Baylor,6,2024 Clemson,64,72,-8,136,0
20242412b,b,2412,2024,Region 4,Second Round,2,2024 Arizona,7,2024 Dayton,78,68,10,146,1
20243113b,b,3113,2024,Region 1,Sweet 16,5,2024 San Diego St.,1,2024 Connecticut,52,82,-30,134,0
20243113b,b,3113,2024,Region 1,Sweet 16,2,2024 Iowa St.,3,2024 Illinois,69,72,-3,141,0
20243213b,b,3213,2024,Region 2,Sweet 16,4,2024 Duke,1,2024 Houston,54,51,3,105,1
20243214b,b,3214,2024,Region 2,Sweet 16,2,2024 Marquette,11,2024 NC St.,58,67,-9,125,0
20243313b,b,3313,2024,Region 3,Sweet 16,5,2024 Gonzaga,1,2024 Purdue,68,80,-12,148,0
20243314b,b,3314,2024,Region 3,Sweet 16,2,2024 Tennessee,3,2024 Creighton,82,75,7,157,1
20243413b,b,3413,2024,Region 4,Sweet 16,4,2024 Alabama,1,2024 North Carolina,89,87,2,176,1
20243414b,b,3414,2024,Region 4,Sweet 16,2,2024 Arizona,6,2024 Clemson,72,77,-5,149,0
20244115b,b,4115,2024,Region 1,Elite Eight,3,2024 Illinois,1,2024 Connecticut,52,77,-25,129,0
20244215b,b,4215,2024,Region 2,Elite Eight,11,2024 NC St.,4,2024 Duke,76,64,12,140,1
20244315b,b,4315,2024,Region 3,Elite Eight,2,2024 Tennessee,1,2024 Purdue,66,72,-6,138,0
