team_id,3man_prpg!,3man_dprpg,3man_bpm,3man_obpm,3man_dbpm
2020 Baylor,12.3,12.9,24.5,15,9.5
2020 Belmont,8.7,9.7,16.8,9.9,6.9
2020 Boston University,7,8.2,10.5,8,2.6
2020 Bradley,7.7,9.3,10.8,7.2,3.7
2020 Butler,11.8,12.1,20.1,12.9,7.2
2020 BYU,12.7,11.3,20.8,15.5,5.1
2020 Cincinnati,8.8,11.9,16,9.5,6.5
2020 Colorado,10.1,12.4,18.1,9.7,8.4
2020 Creighton,13.6,11.4,20.5,16.4,4.1
2020 Dayton,13.7,11.8,26,18.8,7.2
2020 Duke,10.5,11.4,21.9,12.5,9.4
2020 East Tennessee St.,7.5,9.9,13.1,7.3,5.8
2020 Eastern Washington,8,10,10.3,7.3,2.9
2020 Florida,10.4,11,19.1,11.2,7.9
2020 Florida St.,8.9,10.7,20.3,10.7,9.7
2020 Gonzaga,11.9,10.3,24.4,17.5,7
2020 Hofstra,11.7,9.3,10.6,10,0.6
2020 Houston,7.9,9.4,20.4,10.6,9.8
2020 Illinois,10.8,10.8,16.6,10.9,5.7
2020 Indiana,9.2,10.5,14.9,8,6.9
2020 Iowa,12.4,10.2,19.1,15.1,3.8
2020 Kansas,13,14.4,27.5,13.8,13.7
2020 Kentucky,11.6,11.7,16.4,10.5,6.1
2020 Liberty,8.8,10.5,13.5,9.2,4.3
2020 Little Rock,9,9.5,10.4,8.5,1.9
2020 Louisville,11.3,11,22.5,15.7,6.8
2020 LSU,12.1,9.4,15.2,12.4,2.9
2020 Marquette,10.5,9.1,18.9,13.1,5.9
2020 Maryland,12,11.5,21.1,13.6,7.6
2020 Michigan,9.2,12.2,16.7,8.2,8.5
2020 Michigan St.,12.1,13,23.9,14,9.6
2020 New Mexico St.,9.2,9,21.2,15.2,6
2020 North Carolina Central,4.4,7.2,-0.6,-0.8,0.3
2020 North Carolina St.,9,10.5,13.2,8.4,4.8
2020 North Dakota St.,10,8.7,11.1,10.1,1
2020 North Texas,10.2,8.1,10.8,10.7,0
2020 Northern Kentucky,8.1,10.2,12.7,8,4.7
2020 Ohio St.,9.7,11,17.6,12.1,5.5
2020 Oklahoma,11.3,11.9,17.6,12.8,4.9
2020 Oregon,13.8,9,19.9,17,2.9
2020 Penn St.,6.9,9,13.6,7.5,6.1
2020 Prairie View A&M,6,7.6,5.1,1.7,3.4
2020 Providence,7.8,11.5,15.3,7.4,8
2020 Richmond,10.2,11.3,20.1,12.2,8
2020 Robert Morris,6.8,7.8,6.1,5.1,1
2020 Rutgers,8.3,10.9,18.3,10.1,8.2
2020 Saint Mary's,12.1,10.4,15.3,12.8,2.6
2020 San Diego St.,11.8,11.8,23.2,14.7,8.4
2020 Seton Hall,11.6,10.8,17.9,14.2,3.8
2020 Siena,11,8,12.5,12.4,0.2
2020 Stephen F. Austin,6.1,8.8,13.1,5.9,7.2
2020 Texas,6.1,9.3,11.8,4.4,7.4
2020 Texas Tech,6.5,10.1,14.4,4.9,9.6
2020 UC Irvine,7.1,7.4,9.5,6.8,2.5
2020 UCLA,7.7,8.4,12.7,7.9,4.8
2020 USC,9.2,12.1,18.8,8.3,10.4
2020 Utah St.,12,12.1,22.2,13.9,8.3
2020 Vermont,9.1,10.2,14.3,9.5,4.6
2020 Villanova,12.7,11.7,19,12.5,6.5
2020 Virginia,7,14.8,19.4,5.6,13.8
2020 West Virginia,8.3,10.4,23.2,11.6,11.4
2020 Winthrop,5.3,7.8,4.4,4.1,0.5
2020 Wisconsin,8,10.6,14,6.8,7.2
2020 Yale,9.5,11,14.7,10.4,4.2
2021 Abilene Christian,5.3,9.8,11.8,4.8,7
2021 Alabama,6.3,9.2,24,9,15.1
2021 Appalachian St.,6.9,7.9,4.3,3,1.3
2021 Arkansas,10.2,11.1,16.6,10.4,6.3
2021 Baylor,15.4,11.6,28.3,20.8,7.6
2021 BYU,9.6,9.9,19.7,11.5,8.2
2021 Clemson,8.4,9.3,19.4,10.5,9
2021 Cleveland St.,5,8.2,4,2.5,1.4
2021 Colgate,8.5,9.1,10.4,7.6,3
2021 Colorado,9.2,9.5,19.3,9.3,10.1
2021 Connecticut,10.8,10.8,20.8,12.8,8
2021 Creighton,11.1,10.6,19,11.7,7.2
2021 Drake,8.7,8.2,14.2,10.4,3.7
2021 Drexel,9.2,7.5,7.3,8.7,-1.5
2021 Eastern Washington,7.9,8,13,8.4,4.4
2021 Florida,10.8,9.9,16.6,12.1,4.6
2021 Florida St.,9.6,9.7,22.7,13,9.7
2021 Georgetown,7.1,9.1,11.8,5.7,6
2021 Georgia Tech,10.9,11,15.8,10.1,5.7
2021 Gonzaga,16.2,11.5,30.2,23.4,6.8
2021 Grand Canyon,8.9,10.8,12.6,7.8,4.8
2021 Hartford,4.6,9,4.9,0.2,4.8
2021 Houston,12.5,12.2,24.2,16.8,7.6
2021 Illinois,12.3,10.4,25,17.2,7.7
2021 Iona,5.9,9.8,8.9,3.7,5.1
2021 Iowa,15,9.6,25.8,22.6,3
2021 Kansas,9.6,11.1,17.5,10.4,7.1
2021 Liberty,9,7.8,15.5,12.2,3.4
