year,team,region,seed,tier,overall,offense,defense,pct_round_2,pct_sweet_16,pct_elite_eight,pct_final_four,pct_championship,pct_champion,bracket_value,5man_bpm,3man_bpm,elite_outcome_probability,efg%,def_rim_efficiency
2016,Texas A&M,Region 4,3,C,6.54,5.13,6.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.1,19.7,2,51.4,11.777
2016,Duke,Region 4,4,C,6.37,6.6,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5,21.9,3,53.7,15.4762
2016,Baylor,Region 4,5,C,5.21,5.32,3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,14.5,2,51.7,12.7627
2016,Texas,Region 4,6,C,5.79,3.75,5.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.7,15.8,2,49.3,14.3661
2016,Oregon St.,Region 4,7,C,5.08,4.31,4.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,16.9,2,49.9,15.317
2016,Saint Joseph's,Region 4,8,B,5.41,4.09,5.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,19.7,1,51.3,14.813399999999998
2016,Cincinnati,Region 4,9,C,5.92,4.28,6.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.9,18.7,2,49.0,18.1493
2016,VCU,Region 4,10,C,5.51,4.0,5.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.1,18.0,0,50.9,17.3244
2016,Northern Iowa,Region 4,11,B,4.53,3.3,5.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.2,17.0,2,53.3,12.0178
2016,Yale,Region 4,12,C,5.07,4.38,4.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,17.4,1,52.5,17.007300000000004
2016,UNC Wilmington,Region 4,13,F,4.15,3.54,4.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,11.0,1,51.2,12.491599999999998
2016,Green Bay,Region 4,14,F,3.14,2.88,3.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,9.0,2,49.9,16.4602
2016,Cal St. Bakersfield,Region 4,15,D,3.81,2.57,4.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7,10.9,0,49.3,21.450700000000005
2016,Holy Cross,Region 4,16,F,0.05,0.74,1.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.6,1.2,0,47.9,15.861900000000002
2017,Villanova,Region 1,1,S,7.32,7.14,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2,24.0,1,57.9,13.765999999999998
2017,Duke,Region 1,2,A,7.05,6.22,6.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.7,24.5,2,54.8,15.1214
2017,Baylor,Region 1,3,B,6.84,5.92,6.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,21.0,1,52.7,13.9293
2017,Florida,Region 1,4,A,7.39,5.59,7.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,24.7,0,51.5,16.2864
2017,Virginia,Region 1,5,A,6.83,4.42,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4,19.4,2,52.9,15.767000000000005
2017,SMU,Region 1,6,A,6.91,6.31,6.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,23.8,3,54.7,9.5437
2017,South Carolina,Region 1,7,C,6.21,4.08,7.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.3,26.1,1,46.7,15.904899999999998
2017,Wisconsin,Region 1,8,C,6.88,4.99,6.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,24.7,1,51.7,13.0618
2017,Virginia Tech,Region 1,9,C,5.27,5.4,4.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7,16.4,3,57.0,14.4016
2017,Marquette,Region 1,10,C,6.08,6.18,4.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,22.7,2,57.6,10.835
2017,USC,Region 1,11,D,5.08,4.65,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4,15.3,2,51.9,15.9593
2017,UNC Wilmington,Region 1,12,D,4.75,5.35,3.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,14.8,2,55.2,12.209999999999996
2017,East Tennessee St.,Region 1,13,D,4.59,4.71,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.4,11.2,2,56.1,16.8939
2017,New Mexico St.,Region 1,14,F,4.16,4.34,4.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,10.7,1,52.8,14.6689
2017,Troy,Region 1,15,F,2.32,2.67,2.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,7.5,0,51.8,18.7878
2017,Mount St. Mary's,Region 1,16,F,1.71,0.94,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,3.7,1,50.9,21.302100000000003
2017,Kansas,Region 2,1,A,7.42,7.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.5,25.3,4,55.9,14.233600000000004
2017,Louisville,Region 2,2,A,7.28,5.17,7.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4,20.9,1,51.4,15.3032
2017,Oregon,Region 2,3,C,6.92,6.46,6.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.7,23.7,2,55.6,18.425700000000003
2017,Purdue,Region 2,4,C,6.76,6.09,6.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.8,22.5,2,55.7,10.7318
2017,Iowa St.,Region 2,5,B,6.73,4.98,6.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.1,22.2,4,54.8,11.026200000000005
2017,Creighton,Region 2,6,B,6.38,5.88,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,20.6,2,58.0,11.7782
2017,Michigan,Region 2,7,B,6.44,6.4,5.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.3,22.4,3,56.9,11.699199999999998
